Ячеистый;D500;B1.5;40%-75%;Железобетонная;меньше 1.5м;
---;---;---;---;---;---;
;;C;CL;N;NL;
Модуль деформации/упругости;Eb;3400000;2243184.3;3400000;2243184.3;кПa
Прочность бетона при сжатии;Rb;1300;1170;1900;1900;кПa
Прочность бетона при растяжении;Rbt;-120;-108;-260;-260;кПa
Относительная деформация растяжения;ebt2;-0.00015;-0.00031;-0.00015;-0.00031;
Относительная деформация растяжения;ebt0;-0.0001;-0.00024;-0.0001;-0.00024;
Относительная деформация растяжения;ebt1;-0.0000212;-0.0000289;-0.0000459;-0.0000695;
Относительная деформация сжатия;eb1;0.0002294;0.0003129;0.0003353;0.0005082;
Относительная деформация сжатия;eb0;0.002;0.0034;0.002;0.0034;
Относительная деформация сжатия;eb2;0.0035;0.0048;0.0035;0.0048;
Приведенная деформация растяженя;ebt1red;-0.000085;-0.00022;-0.000085;-0.00022;
Приведенная деформация сжатия;eb1red;0.0015;0.0028;0.0015;0.0028;
